method,family,n,p,seed,tol,d,m,cut,approx_ratio,params_opt,rank,refreshes,forward_F,jvp,vjp,wall_s
full_maqaoa,regular,8,1,0,,20,12,8.498828,0.849883,20,,0,100,0,100,2.4797
symmetry,regular,8,1,0,,20,12,8.499979,0.849998,8,,0,100,0,100,0.153
fixed_rank_oracle,regular,8,1,0,,20,12,7.73197,0.773197,8,8,0,100,0,100,0.1617
rsq,regular,8,1,0,0.1,20,12,8.489718,0.848972,12,12,3,216,108,348,0.7277
rsq,regular,8,1,0,0.01,20,12,8.489718,0.848972,12,12,3,216,108,348,0.7029
rsq_adjoint_free,regular,8,1,0,,20,12,8.489562,0.848956,8,8,3,288,144,0,0.2696
full_maqaoa,regular,8,1,1,,20,12,8.499888,0.849989,20,,0,100,0,100,0.1411
symmetry,regular,8,1,1,,20,12,7.999932,0.799993,8,,0,100,0,100,0.1548
fixed_rank_oracle,regular,8,1,1,,20,12,7.828712,0.782871,8,8,0,100,0,100,0.1537
rsq,regular,8,1,1,0.1,20,12,8.491338,0.849134,12,12,3,216,108,348,0.7359
rsq,regular,8,1,1,0.01,20,12,8.491338,0.849134,12,12,3,216,108,348,0.732
rsq_adjoint_free,regular,8,1,1,,20,12,8.00648,0.800648,8,8,3,288,144,0,0.2708
full_maqaoa,regular,8,1,2,,20,12,8.5772,0.85772,20,,0,100,0,100,0.1452
symmetry,regular,8,1,2,,20,12,7.999978,0.799998,8,,0,100,0,100,0.1555
fixed_rank_oracle,regular,8,1,2,,20,12,7.595198,0.75952,8,8,0,100,0,100,0.1584
rsq,regular,8,1,2,0.1,20,12,8.552551,0.855255,12,12,3,216,108,348,0.7074
rsq,regular,8,1,2,0.01,20,12,8.552551,0.855255,12,12,3,216,108,348,0.7148
rsq_adjoint_free,regular,8,1,2,,20,12,8.03429,0.803429,8,8,3,288,144,0,0.2649
full_maqaoa,regular,8,2,0,,40,12,9.941843,0.994184,40,,0,100,0,100,0.273
symmetry,regular,8,2,0,,40,12,9.998413,0.999841,16,,0,100,0,100,0.2811
fixed_rank_oracle,regular,8,2,0,,40,12,7.640887,0.764089,8,8,0,100,0,100,0.2897
rsq,regular,8,2,0,0.1,40,12,9.379665,0.937967,12,12,3,240,120,390,1.5026
rsq,regular,8,2,0,0.01,40,12,9.379665,0.937967,12,12,3,240,120,390,1.4962
rsq_adjoint_free,regular,8,2,0,,40,12,8.144608,0.814461,8,8,3,288,144,0,0.5247
full_maqaoa,regular,8,2,1,,40,12,9.499771,0.949977,40,,0,100,0,100,0.2657
symmetry,regular,8,2,1,,40,12,9.999419,0.999942,16,,0,100,0,100,0.2727
fixed_rank_oracle,regular,8,2,1,,40,12,7.66561,0.766561,8,8,0,100,0,100,0.2928
rsq,regular,8,2,1,0.1,40,12,8.915478,0.891548,12,12,3,240,120,390,1.4922
rsq,regular,8,2,1,0.01,40,12,8.915478,0.891548,12,12,3,240,120,390,1.4664
rsq_adjoint_free,regular,8,2,1,,40,12,8.566287,0.856629,8,8,3,288,144,0,0.4819
full_maqaoa,regular,8,2,2,,40,12,9.499473,0.949947,40,,0,100,0,100,0.2821
symmetry,regular,8,2,2,,40,12,9.319476,0.931948,16,,0,100,0,100,0.2817
fixed_rank_oracle,regular,8,2,2,,40,12,7.751836,0.775184,8,8,0,100,0,100,0.3008
rsq,regular,8,2,2,0.1,40,12,9.24344,0.924344,12,12,3,240,120,390,1.4751
rsq,regular,8,2,2,0.01,40,12,9.24344,0.924344,12,12,3,240,120,390,1.4922
rsq_adjoint_free,regular,8,2,2,,40,12,8.400957,0.840096,8,8,3,288,144,0,0.5092
full_maqaoa,regular,10,1,0,,25,15,10.57236,0.813258,25,,0,100,0,100,0.1852
symmetry,regular,10,1,0,,25,15,10.252411,0.788647,14,,0,100,0,100,0.1925
fixed_rank_oracle,regular,10,1,0,,25,15,9.359323,0.719948,8,8,0,100,0,100,0.2094
rsq,regular,10,1,0,0.1,25,15,10.564372,0.812644,15,15,3,260,130,362,0.9917
rsq,regular,10,1,0,0.01,25,15,10.773818,0.828755,15,15,3,284,142,404,1.0834
rsq_adjoint_free,regular,10,1,0,,25,15,9.487371,0.729798,8,8,3,288,144,0,0.3597
full_maqaoa,regular,10,1,1,,25,15,10.510445,0.87587,25,,0,100,0,100,0.1892
symmetry,regular,10,1,1,,25,15,10.219757,0.851646,9,,0,100,0,100,0.1972
fixed_rank_oracle,regular,10,1,1,,25,15,9.589003,0.799084,8,8,0,100,0,100,0.1978
rsq,regular,10,1,1,0.1,25,15,10.497393,0.874783,15,15,3,260,130,362,0.9804
rsq,regular,10,1,1,0.01,25,15,10.488085,0.874007,15,15,3,284,142,404,1.1135
rsq_adjoint_free,regular,10,1,1,,25,15,10.235386,0.852949,8,8,3,288,144,0,0.3685
full_maqaoa,regular,10,1,2,,25,15,10.499806,0.807677,25,,0,100,0,100,0.1929
