method,family,n,p,graph_seed,graph_id,task_index,weight_hash,basis_bank_hash,stream_mode,weight_model_seed,basis_stream_seed,stream_seed,measurement_repeat,measurement_seed,latent_rank,drift_scale,ambient_dimension,optimized_dimension,basis_rank,exact_cut,exact_optimum,approximation_ratio,reported_best_cut,final_cut,residual,refreshed,build_status_json,build_stop_reason,build_converged,build_relative_residual,protocol_sha256,config_sha256,implementation_sha256,python_version,numpy_version,torch_version,networkx_version,platform,task_objective_evaluations,task_observable_evaluations,task_shots,task_sensitivity_jvps,task_simulator_vjps,task_subspace_builds,task_residual_checks,task_refreshes,task_forward_circuit_evaluations,cumulative_objective_evaluations,cumulative_observable_evaluations,cumulative_shots,cumulative_sensitivity_jvps,cumulative_simulator_vjps,cumulative_subspace_builds,cumulative_residual_checks,cumulative_refreshes,cumulative_forward_circuit_evaluations
full_spsa,regular,8,1,41,db7b7e60a969e365,0,9a5ad566c56f329f,c6cd674a43780a08,low_rank_drift,342564,442564,542564,0,600000,3,0.18,20,20,20,7.12269595625,10.1375558642,0.702604853843,7.12269595625,7.04712636824,,False,[],,,,86641437f696640aa32747b6fc9752a8a2a25787958039e927859b05cef3f04e,8bab757cab917a0d7b6ebbe434b0417f2aa45a287f0b48925b42a4ec8f947563,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,0,0,0,0,0,0,81,81,0,0,0,0,0,0,0,81
full_spsa,regular,8,1,41,db7b7e60a969e365,1,3f58eeae530b6e41,c6cd674a43780a08,low_rank_drift,342564,442564,542564,0,600000,3,0.18,20,20,20,7.86741424332,10.1906398188,0.772023580779,7.86741424332,7.85701914849,,False,[],,,,86641437f696640aa32747b6fc9752a8a2a25787958039e927859b05cef3f04e,8bab757cab917a0d7b6ebbe434b0417f2aa45a287f0b48925b42a4ec8f947563,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,0,0,0,0,0,0,81,162,0,0,0,0,0,0,0,162
full_spsa,regular,8,1,41,db7b7e60a969e365,2,48b31c3e5af82ab4,c6cd674a43780a08,low_rank_drift,342564,442564,542564,0,600000,3,0.18,20,20,20,8.03032024658,10.0431965234,0.799578125138,8.03032024658,8.0052159289,,False,[],,,,86641437f696640aa32747b6fc9752a8a2a25787958039e927859b05cef3f04e,8bab757cab917a0d7b6ebbe434b0417f2aa45a287f0b48925b42a4ec8f947563,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,0,0,0,0,0,0,81,243,0,0,0,0,0,0,0,243
full_spsa,regular,8,1,41,db7b7e60a969e365,3,82cdbb62c3ecf0db,c6cd674a43780a08,low_rank_drift,342564,442564,542564,0,600000,3,0.18,20,20,20,8.17878552552,10.0143284778,0.816708333831,8.17878552552,8.16919015178,,False,[],,,,86641437f696640aa32747b6fc9752a8a2a25787958039e927859b05cef3f04e,8bab757cab917a0d7b6ebbe434b0417f2aa45a287f0b48925b42a4ec8f947563,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,0,0,0,0,0,0,81,324,0,0,0,0,0,0,0,324
full_spsa,regular,8,1,41,db7b7e60a969e365,4,b06de1ea579af295,c6cd674a43780a08,low_rank_drift,342564,442564,542564,0,600000,3,0.18,20,20,20,8.35682858017,10.1475438354,0.823532148835,8.35682858017,8.35682858017,,False,[],,,,86641437f696640aa32747b6fc9752a8a2a25787958039e927859b05cef3f04e,8bab757cab917a0d7b6ebbe434b0417f2aa45a287f0b48925b42a4ec8f947563,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,0,0,0,0,0,0,81,405,0,0,0,0,0,0,0,405
full_spsa,regular,8,1,41,db7b7e60a969e365,5,bb6156be3b06344f,c6cd674a43780a08,low_rank_drift,342564,442564,542564,0,600000,3,0.18,20,20,20,8.50073102867,10.0228145721,0.848138112058,8.50073102867,8.50073102867,,False,[],,,,86641437f696640aa32747b6fc9752a8a2a25787958039e927859b05cef3f04e,8bab757cab917a0d7b6ebbe434b0417f2aa45a287f0b48925b42a4ec8f947563,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,0,0,0,0,0,0,81,486,0,0,0,0,0,0,0,486
full_spsa,regular,8,1,41,db7b7e60a969e365,6,7a5bb22bb56ed299,c6cd674a43780a08,low_rank_drift,342564,442564,542564,0,600000,3,0.18,20,20,20,8.58199950356,10.0531766055,0.853660473735,8.58199950356,8.58199950356,,False,[],,,,86641437f696640aa32747b6fc9752a8a2a25787958039e927859b05cef3f04e,8bab757cab917a0d7b6ebbe434b0417f2aa45a287f0b48925b42a4ec8f947563,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,0,0,0,0,0,0,81,567,0,0,0,0,0,0,0,567
full_spsa,regular,8,1,41,db7b7e60a969e365,7,1b25fae193fc40b9,c6cd674a43780a08,low_rank_drift,342564,442564,542564,0,600000,3,0.18,20,20,20,8.65902456113,10.0537029749,0.861277141638,8.65902456113,8.65902456113,,False,[],,,,86641437f696640aa32747b6fc9752a8a2a25787958039e927859b05cef3f04e,8bab757cab917a0d7b6ebbe434b0417f2aa45a287f0b48925b42a4ec8f947563,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,0,0,0,0,0,0,81,648,0,0,0,0,0,0,0,648
amortized_none,regular,8,1,41,db7b7e60a969e365,0,9a5ad566c56f329f,c6cd674a43780a08,low_rank_drift,342564,442564,542564,0,600000,3,0.18,20,2,2,7.04553273586,10.1375558642,0.694993234096,7.04553273586,6.9938557031,,False,"[{""converged"":true,""rank"":2,""refresh"":false,""relative_residual"":0.07537105983876878,""stop_reason"":""tolerance_met"",""task"":0}]",tolerance_met,True,0.0753710598388,86641437f696640aa32747b6fc9752a8a2a25787958039e927859b05cef3f04e,8bab757cab917a0d7b6ebbe434b0417f2aa45a287f0b48925b42a4ec8f947563,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,4,0,2,16,1,0,0,85,81,4,0,2,16,1,0,0,85
amortized_none,regular,8,1,41,db7b7e60a969e365,1,3f58eeae530b6e41,c6cd674a43780a08,low_rank_drift,342564,442564,542564,0,600000,3,0.18,20,2,2,7.18325331575,10.1906398188,0.704887371498,7.18325331575,7.16524773939,,False,[],,,,86641437f696640aa32747b6fc9752a8a2a25787958039e927859b05cef3f04e,8bab757cab917a0d7b6ebbe434b0417f2aa45a287f0b48925b42a4ec8f947563,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,0,0,0,0,0,0,81,162,4,0,2,16,1,0,0,166
