method,family,n,p,graph_seed,graph_id,task_index,weight_hash,basis_bank_hash,stream_mode,weight_model_seed,basis_stream_seed,stream_seed,measurement_repeat,measurement_seed,latent_rank,drift_scale,ambient_dimension,optimized_dimension,basis_rank,exact_cut,exact_optimum,approximation_ratio,reported_best_cut,final_cut,residual,refreshed,build_status_json,build_stop_reason,build_converged,build_relative_residual,protocol_sha256,config_sha256,implementation_sha256,python_version,numpy_version,torch_version,networkx_version,platform,task_objective_evaluations,task_observable_evaluations,task_shots,task_sensitivity_jvps,task_simulator_vjps,task_subspace_builds,task_residual_checks,task_refreshes,task_forward_circuit_evaluations,cumulative_objective_evaluations,cumulative_observable_evaluations,cumulative_shots,cumulative_sensitivity_jvps,cumulative_simulator_vjps,cumulative_subspace_builds,cumulative_residual_checks,cumulative_refreshes,cumulative_forward_circuit_evaluations
full_spsa,regular,8,2,41,db7b7e60a969e365,0,d0b0cd062416dee3,e2435f3f5bfc8ed6,low_rank_drift,342574,442574,542574,0,600000,3,0.18,40,40,40,7.89450147214,10.1104124738,0.780828823017,7.88933273233,7.76301758972,,False,[],,,,f17516bb20c62ea889ab7b53c645c468b9ea9e066c607c8129929441466b63da,4794b468691a9082b7bc1d2cff736b1292d4987bb649c6bdc0454f7e1bb5b801,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,20736,0,0,0,0,0,81,81,0,20736,0,0,0,0,0,81
full_spsa,regular,8,2,41,db7b7e60a969e365,1,956e8842fe9d118d,e2435f3f5bfc8ed6,low_rank_drift,342574,442574,542574,0,600000,3,0.18,40,40,40,8.39461121969,10.2205380037,0.821347292744,8.61352029204,8.55356289267,,False,[],,,,f17516bb20c62ea889ab7b53c645c468b9ea9e066c607c8129929441466b63da,4794b468691a9082b7bc1d2cff736b1292d4987bb649c6bdc0454f7e1bb5b801,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,20736,0,0,0,0,0,81,162,0,41472,0,0,0,0,0,162
full_spsa,regular,8,2,41,db7b7e60a969e365,2,ba8a3c1283c71bc6,e2435f3f5bfc8ed6,low_rank_drift,342574,442574,542574,0,600000,3,0.18,40,40,40,8.4225478208,10.3649102488,0.812602098681,8.77715889278,8.76296616203,,False,[],,,,f17516bb20c62ea889ab7b53c645c468b9ea9e066c607c8129929441466b63da,4794b468691a9082b7bc1d2cff736b1292d4987bb649c6bdc0454f7e1bb5b801,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,20736,0,0,0,0,0,81,243,0,62208,0,0,0,0,0,243
full_spsa,regular,8,2,41,db7b7e60a969e365,3,57c90a9755244ab4,e2435f3f5bfc8ed6,low_rank_drift,342574,442574,542574,0,600000,3,0.18,40,40,40,8.87175488908,10.3178359107,0.859846480007,9.02177592133,8.88309129113,,False,[],,,,f17516bb20c62ea889ab7b53c645c468b9ea9e066c607c8129929441466b63da,4794b468691a9082b7bc1d2cff736b1292d4987bb649c6bdc0454f7e1bb5b801,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,20736,0,0,0,0,0,81,324,0,82944,0,0,0,0,0,324
full_spsa,regular,8,2,41,db7b7e60a969e365,4,04ea52af32e16f9d,e2435f3f5bfc8ed6,low_rank_drift,342574,442574,542574,0,600000,3,0.18,40,40,40,9.09520379657,10.249925393,0.887343414501,9.31616918182,9.22626266434,,False,[],,,,f17516bb20c62ea889ab7b53c645c468b9ea9e066c607c8129929441466b63da,4794b468691a9082b7bc1d2cff736b1292d4987bb649c6bdc0454f7e1bb5b801,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,20736,0,0,0,0,0,81,405,0,103680,0,0,0,0,0,405
full_spsa,regular,8,2,41,db7b7e60a969e365,5,83c60b63bd08e4ef,e2435f3f5bfc8ed6,low_rank_drift,342574,442574,542574,0,600000,3,0.18,40,40,40,9.45076605387,10.1947350999,0.927024190554,9.56543341517,9.56437434044,,False,[],,,,f17516bb20c62ea889ab7b53c645c468b9ea9e066c607c8129929441466b63da,4794b468691a9082b7bc1d2cff736b1292d4987bb649c6bdc0454f7e1bb5b801,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,20736,0,0,0,0,0,81,486,0,124416,0,0,0,0,0,486
full_spsa,regular,8,2,41,db7b7e60a969e365,6,3ff432b78fcfffb9,e2435f3f5bfc8ed6,low_rank_drift,342574,442574,542574,0,600000,3,0.18,40,40,40,9.7306473002,10.1753272054,0.956298220568,9.77716611722,9.77716611722,,False,[],,,,f17516bb20c62ea889ab7b53c645c468b9ea9e066c607c8129929441466b63da,4794b468691a9082b7bc1d2cff736b1292d4987bb649c6bdc0454f7e1bb5b801,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,20736,0,0,0,0,0,81,567,0,145152,0,0,0,0,0,567
full_spsa,regular,8,2,41,db7b7e60a969e365,7,6af769eed69d4f81,e2435f3f5bfc8ed6,low_rank_drift,342574,442574,542574,0,600000,3,0.18,40,40,40,9.73610329555,10.1769308271,0.95668364667,9.79488524434,9.78899615726,,False,[],,,,f17516bb20c62ea889ab7b53c645c468b9ea9e066c607c8129929441466b63da,4794b468691a9082b7bc1d2cff736b1292d4987bb649c6bdc0454f7e1bb5b801,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,0,20736,0,0,0,0,0,81,648,0,165888,0,0,0,0,0,648
amortized_gated,regular,8,2,41,db7b7e60a969e365,0,d0b0cd062416dee3,e2435f3f5bfc8ed6,low_rank_drift,342574,442574,542574,0,600000,3,0.18,40,2,2,6.98961454269,10.1104124738,0.691328327188,7.29918178867,7.19325289045,,False,"[{""converged"":true,""rank"":2,""refresh"":false,""relative_residual"":0.0611457006811455,""stop_reason"":""tolerance_met"",""task"":0}]",tolerance_met,True,0.0611457006811,f17516bb20c62ea889ab7b53c645c468b9ea9e066c607c8129929441466b63da,4794b468691a9082b7bc1d2cff736b1292d4987bb649c6bdc0454f7e1bb5b801,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,81,4,20736,2,16,1,0,0,85,81,4,20736,2,16,1,0,0,85
amortized_gated,regular,8,2,41,db7b7e60a969e365,1,956e8842fe9d118d,e2435f3f5bfc8ed6,low_rank_drift,342574,442574,542574,0,600000,3,0.18,40,4,4,7.77863848276,10.2205380037,0.76107916041,7.93641847765,7.72449821332,0.919678946151,True,"[{""converged"":true,""rank"":4,""refresh"":true,""relative_residual"":0.0571780090720582,""stop_reason"":""tolerance_met"",""task"":1}]",tolerance_met,True,0.0571780090721,f17516bb20c62ea889ab7b53c645c468b9ea9e066c607c8129929441466b63da,4794b468691a9082b7bc1d2cff736b1292d4987bb649c6bdc0454f7e1bb5b801,fe49dff724835e0a9a639191700a1a5f0c02e9e2a1c5a1152e789b7ce829fc69,3.13.12,2.4.3,2.11.0,3.6.1,macOS-26.5.2-arm64-arm-64bit-Mach-O,85,8,21760,4,16,1,1,1,93,166,12,42496,6,32,2,1,1,178
